# SpotBugs LOW-confidence reviewed inventory.
# Format: type|priority|class|method|methodDescriptor|field|fieldDescriptor|count
# Every change requires review against documentation/StaticAnalysis.md.
EI_EXPOSE_REP2|2|com.googlecode.cqengine.persistence.support.CollectionWrappingObjectStore|<init>|(Ljava/util/Collection;)V|backingCollection|Ljava/util/Collection;|1
EI_EXPOSE_REP2|2|com.googlecode.cqengine.persistence.support.FilteredObjectStore|<init>|(Lcom/googlecode/cqengine/persistence/support/ObjectStore;Lcom/googlecode/cqengine/query/Query;)V|backingObjectStore|Lcom/googlecode/cqengine/persistence/support/ObjectStore;|1
EI_EXPOSE_REP2|2|com.googlecode.cqengine.persistence.support.ObjectStoreAsSet|<init>|(Lcom/googlecode/cqengine/persistence/support/ObjectStore;Lcom/googlecode/cqengine/query/option/QueryOptions;)V|objectStore|Lcom/googlecode/cqengine/persistence/support/ObjectStore;|1
EI_EXPOSE_REP2|2|com.googlecode.cqengine.persistence.support.ObjectStoreAsSet|<init>|(Lcom/googlecode/cqengine/persistence/support/ObjectStore;Lcom/googlecode/cqengine/query/option/QueryOptions;)V|queryOptions|Lcom/googlecode/cqengine/query/option/QueryOptions;|1
EI_EXPOSE_REP2|2|com.googlecode.cqengine.persistence.support.ObjectStoreResultSet|<init>|(Lcom/googlecode/cqengine/persistence/support/ObjectStore;Lcom/googlecode/cqengine/query/Query;Lcom/googlecode/cqengine/query/option/QueryOptions;I)V|objectStore|Lcom/googlecode/cqengine/persistence/support/ObjectStore;|1
EI_EXPOSE_REP2|2|com.googlecode.cqengine.persistence.support.ObjectStoreResultSet|<init>|(Lcom/googlecode/cqengine/persistence/support/ObjectStore;Lcom/googlecode/cqengine/query/Query;Lcom/googlecode/cqengine/query/option/QueryOptions;I)V|queryOptions|Lcom/googlecode/cqengine/query/option/QueryOptions;|1
EI_EXPOSE_REP2|2|com.googlecode.cqengine.persistence.wrapping.WrappingPersistence|<init>|(Ljava/util/Collection;Lcom/googlecode/cqengine/attribute/SimpleAttribute;)V|backingCollection|Ljava/util/Collection;|1
EI_EXPOSE_REP2|2|com.googlecode.cqengine.query.option.QueryOptions|<init>|(Ljava/util/Map;)V|options|Ljava/util/Map;|1
EI_EXPOSE_REP2|2|com.googlecode.cqengine.query.parser.common.ParseResult|<init>|(Lcom/googlecode/cqengine/query/Query;Lcom/googlecode/cqengine/query/option/QueryOptions;)V|queryOptions|Lcom/googlecode/cqengine/query/option/QueryOptions;|1
EI_EXPOSE_REP2|2|com.googlecode.cqengine.resultset.closeable.CloseableResultSet|<init>|(Lcom/googlecode/cqengine/resultset/ResultSet;Lcom/googlecode/cqengine/query/Query;Lcom/googlecode/cqengine/query/option/QueryOptions;Ljava/io/Closeable;)V|queryOptions|Lcom/googlecode/cqengine/query/option/QueryOptions;|1
EI_EXPOSE_REP2|2|com.googlecode.cqengine.resultset.connective.ResultSetDifference|<init>|(Lcom/googlecode/cqengine/resultset/ResultSet;Lcom/googlecode/cqengine/resultset/ResultSet;Lcom/googlecode/cqengine/query/Query;Lcom/googlecode/cqengine/query/option/QueryOptions;Z)V|queryOptions|Lcom/googlecode/cqengine/query/option/QueryOptions;|1
EI_EXPOSE_REP2|2|com.googlecode.cqengine.resultset.connective.ResultSetIntersection|<init>|(Ljava/lang/Iterable;Lcom/googlecode/cqengine/query/Query;Lcom/googlecode/cqengine/query/option/QueryOptions;Z)V|queryOptions|Lcom/googlecode/cqengine/query/option/QueryOptions;|1
EI_EXPOSE_REP2|2|com.googlecode.cqengine.resultset.connective.ResultSetUnionAll|<init>|(Ljava/lang/Iterable;Lcom/googlecode/cqengine/query/Query;Lcom/googlecode/cqengine/query/option/QueryOptions;)V|queryOptions|Lcom/googlecode/cqengine/query/option/QueryOptions;|1
EI_EXPOSE_REP2|2|com.googlecode.cqengine.resultset.connective.ResultSetUnion|<init>|(Ljava/lang/Iterable;Lcom/googlecode/cqengine/query/Query;Lcom/googlecode/cqengine/query/option/QueryOptions;Z)V|queryOptions|Lcom/googlecode/cqengine/query/option/QueryOptions;|1
EI_EXPOSE_REP2|2|com.googlecode.cqengine.resultset.filter.DeduplicatingResultSet|<init>|(Lcom/googlecode/cqengine/attribute/Attribute;Lcom/googlecode/cqengine/resultset/ResultSet;Lcom/googlecode/cqengine/query/Query;Lcom/googlecode/cqengine/query/option/QueryOptions;)V|queryOptions|Lcom/googlecode/cqengine/query/option/QueryOptions;|1
EI_EXPOSE_REP2|2|com.googlecode.cqengine.resultset.filter.FilteringIterator|<init>|(Ljava/util/Iterator;Lcom/googlecode/cqengine/query/option/QueryOptions;)V|queryOptions|Lcom/googlecode/cqengine/query/option/QueryOptions;|1
EI_EXPOSE_REP2|2|com.googlecode.cqengine.resultset.filter.FilteringIterator|<init>|(Ljava/util/Iterator;Lcom/googlecode/cqengine/query/option/QueryOptions;)V|wrappedIterator|Ljava/util/Iterator;|1
EI_EXPOSE_REP2|2|com.googlecode.cqengine.resultset.filter.FilteringResultSet|<init>|(Lcom/googlecode/cqengine/resultset/ResultSet;Lcom/googlecode/cqengine/query/Query;Lcom/googlecode/cqengine/query/option/QueryOptions;)V|queryOptions|Lcom/googlecode/cqengine/query/option/QueryOptions;|1
EI_EXPOSE_REP2|2|com.googlecode.cqengine.resultset.filter.MaterializedDeduplicatedIterator|<init>|(Ljava/util/Iterator;)V|backingIterator|Ljava/util/Iterator;|1
EI_EXPOSE_REP2|2|com.googlecode.cqengine.resultset.iterator.MarkableIterator|<init>|(Ljava/util/Iterator;)V|backingIterator|Ljava/util/Iterator;|1
EI_EXPOSE_REP2|2|com.googlecode.cqengine.resultset.order.AttributeOrdersComparator|<init>|(Ljava/util/List;Lcom/googlecode/cqengine/query/option/QueryOptions;)V|queryOptions|Lcom/googlecode/cqengine/query/option/QueryOptions;|1
EI_EXPOSE_REP2|2|com.googlecode.cqengine.resultset.stored.StoredSetBasedResultSet|<init>|(Ljava/util/Set;I)V|backingSet|Ljava/util/Set;|1
EI_EXPOSE_REP|2|com.googlecode.cqengine.ConcurrentIndexedCollection$RequestScope|getQueryOptions|()Lcom/googlecode/cqengine/query/option/QueryOptions;|queryOptions|Lcom/googlecode/cqengine/query/option/QueryOptions;|1
